class,category,indicator_name,series_name,sub_series_name,parameter,value,units,date_last_updated
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-09,14526,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-10,14176,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-11,17192,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-12,17547,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-13,17708,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-14,16107,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-15,14843,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-16,14455,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-17,15112,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-18,17409,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-19,17645,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-20,18569,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-21,17170,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-22,16479,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-23,17174,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-24,19697,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-25,18772,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-26,18355,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-27,17145,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-28,15802,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-29,16599,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-30,16186,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-03-31,15755,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-01,13782,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-02,15701,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-03,17187,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-04,13154,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-05,14710,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-06,13141,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-07,13744,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-08,14584,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-09,15189,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-10,17008,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-11,13928,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-12,13777,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-13,13233,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-14,12978,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-15,16172,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-16,16162,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-17,16432,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-18,13817,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-19,13072,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-20,13187,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-21,15014,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-22,16015,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-23,15925,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-24,16900,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-25,15210,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-26,17616,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-27,17929,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-28,16922,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-29,17985,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-04-30,18713,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-01,20850,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-02,15239,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-03,15021,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-04,13474,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-05,13386,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-06,13436,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-07,15544,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-08,15685,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-09,13377,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-10,12165,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-11,12188,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-12,12158,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-13,12220,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-14,13568,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-15,15362,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-16,15186,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-17,11644,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-18,12276,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-19,11933,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-20,11284,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-21,13390,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-22,15620,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-23,12668,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-24,11349,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-25,10743,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-26,13099,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-27,11868,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-28,12828,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-29,14706,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-30,12616,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-05-31,11303,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-01,11010,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-02,12009,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-03,12071,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-04,12078,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-05,13675,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-06,14818,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-07,14460,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-08,11167,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-09,14052,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-10,15899,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-11,14860,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-12,15946,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-13,12344,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-14,12639,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-15,10793,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-16,12084,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-17,13282,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-18,14581,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-19,15348,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-20,14309,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-21,12521,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-22,12680,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-23,15966,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-24,14551,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-25,17231,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-26,17807,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-27,14844,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-28,15112,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-29,14822,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-06-30,16047,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-01,16725,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-02,17701,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-03,18714,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-04,14971,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-05,15549,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-06,14179,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-07,15355,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-08,16799,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-09,17418,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-10,18508,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-11,14982,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-12,15649,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-13,13937,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-14,16996,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-15,17479,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-16,17097,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-17,18957,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-18,16347,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-19,18224,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-20,17444,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-21,18983,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-22,19885,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-23,19430,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-24,20735,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-25,18700,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-26,18746,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-27,15245,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-28,16582,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-29,18343,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-30,17005,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-07-31,18896,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-01,17180,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-02,15777,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-03,14195,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-04,15931,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-05,15787,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-06,16799,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-07,18861,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-08,15341,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-09,15568,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-10,13821,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-11,14766,Number,13-05-21
